,place,date,high temp,low temp,perc
0,"Arlington, VA",2024-01-01,37.23800000000004,23.341999999999995,0.0
1,"Arlington, VA",2024-01-02,37.38200000000002,23.39600000000005,0.0
2,"Arlington, VA",2024-01-03,36.535999999999966,23.558000000000003,0.0
3,"Arlington, VA",2024-01-04,36.44600000000005,23.935999999999964,0.0
4,"Arlington, VA",2024-01-05,35.29399999999997,24.76400000000003,0.0
5,"Arlington, VA",2024-01-06,37.59800000000003,25.15999999999998,0.0
6,"Arlington, VA",2024-01-07,38.53399999999999,24.601999999999975,0.0
7,"Arlington, VA",2024-01-08,39.524000000000015,27.95,0.0
8,"Arlington, VA",2024-01-09,41.48599999999997,25.591999999999995,0.0
9,"Arlington, VA",2024-01-10,40.73000000000004,25.34000000000002,0.0
10,"Arlington, VA",2024-01-11,39.758,26.564000000000032,0.0
11,"Arlington, VA",2024-01-12,45.10399999999995,29.282000000000018,0.0
12,"Arlington, VA",2024-01-13,38.80399999999995,28.364000000000033,0.0
13,"Arlington, VA",2024-01-14,42.44000000000002,26.81600000000001,0.0
14,"Arlington, VA",2024-01-15,41.306000000000026,27.751999999999974,0.0
15,"Arlington, VA",2024-01-16,42.69199999999999,28.616000000000007,0.0
16,"Arlington, VA",2024-01-17,41.108000000000004,27.680000000000042,0.0
17,"Arlington, VA",2024-01-18,40.13599999999997,25.538000000000046,0.0
18,"Arlington, VA",2024-01-19,38.3,25.124000000000013,0.0
19,"Arlington, VA",2024-01-20,36.57200000000004,25.430000000000042,0.0
20,"Arlington, VA",2024-01-21,31.172000000000036,21.182000000000016,0.0
21,"Arlington, VA",2024-01-22,29.335999999999967,20.60600000000003,0.0
22,"Arlington, VA",2024-01-23,28.66999999999996,18.932000000000016,0.0
23,"Arlington, VA",2024-01-24,28.958000000000006,19.201999999999977,0.0
24,"Arlington, VA",2024-01-25,29.3,19.58000000000004,0.0
25,"Arlington, VA",2024-01-26,30.632000000000016,20.82200000000004,0.0
26,"Arlington, VA",2024-01-27,33.36799999999998,20.911999999999956,0.0
27,"Arlington, VA",2024-01-28,33.475999999999985,21.614000000000033,0.0
